"subject","15","25","50","75","100","150","200"
"sub12",0.0833333333333333,0,0.333333333333333,0.0833333333333333,0.166666666666667,0.0833333333333333,0.416666666666667
"sub5",0.666666666666667,0.666666666666667,0.25,0.0833333333333333,0.166666666666667,0.166666666666667,0
"sub11",1,1.18181818181818,1.45454545454545,1.75,1.58333333333333,2.125,1.9
"sub13",0.5,0.75,0.333333333333333,0.0833333333333333,0.25,0.166666666666667,0.0833333333333333
"sub16",0,0,0.25,0.0833333333333333,0.166666666666667,0.0833333333333333,0.416666666666667
"sub4",0.416666666666667,0.5,0.166666666666667,0,0.166666666666667,0.0909090909090909,0
"sub7",0,0,0.25,0.0833333333333333,0.166666666666667,0.0833333333333333,0.416666666666667
"sub8",0,0,0.25,0,0,0.0833333333333333,0.0833333333333333
"sub9",0.833333333333333,0.916666666666667,0.583333333333333,0.0833333333333333,0.166666666666667,0.25,0.0833333333333333
"sub6",0,0,0,0,0.0833333333333333,0.0833333333333333,0.0833333333333333
"sub10",0,0,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0.416666666666667
"sub14",0.583333333333333,0.75,0.333333333333333,0.166666666666667,0.0833333333333333,0.25,0
"sub1",0.833333333333333,0.916666666666667,0.5,0.166666666666667,0.0833333333333333,0.416666666666667,0.0833333333333333
